bom	caller	provider	verb	caller_path	mpath	category	interface	note
1.37.6	clouddriver	fiat	DELETE	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	fiat	GET	/_calls/fiat/authorize/{userId}	/authorize/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	fiat	GET	/_calls/fiat/authorize/{userId}/{resourceType}/{resourceName}/{authorization}	/authorize/{}/{}/{}/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	fiat	POST	/_calls/fiat/authorize/{userId}/{resourceType}/create	/authorize/{}/{}/create	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	fiat	POST	/_calls/fiat/roles/sync	/roles/sync	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	fiat	POST	/_calls/fiat/roles/sync/serviceAccount/{serviceAccountId}	/roles/sync/serviceAccount/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	fiat	POST	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	fiat	PUT	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	echo	fiat	DELETE	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	echo	fiat	GET	/_calls/fiat/authorize/{userId}	/authorize/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	echo	fiat	GET	/_calls/fiat/authorize/{userId}/{resourceType}/{resourceName}/{authorization}	/authorize/{}/{}/{}/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	echo	fiat	POST	/_calls/fiat/authorize/{userId}/{resourceType}/create	/authorize/{}/{}/create	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	echo	fiat	POST	/_calls/fiat/roles/sync	/roles/sync	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	echo	fiat	POST	/_calls/fiat/roles/sync/serviceAccount/{serviceAccountId}	/roles/sync/serviceAccount/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	echo	fiat	POST	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	echo	fiat	PUT	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	igor	fiat	DELETE	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	igor	fiat	GET	/_calls/fiat/authorize/{userId}	/authorize/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	igor	fiat	GET	/_calls/fiat/authorize/{userId}/{resourceType}/{resourceName}/{authorization}	/authorize/{}/{}/{}/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	igor	fiat	POST	/_calls/fiat/authorize/{userId}/{resourceType}/create	/authorize/{}/{}/create	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	igor	fiat	POST	/_calls/fiat/roles/sync	/roles/sync	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	igor	fiat	POST	/_calls/fiat/roles/sync/serviceAccount/{serviceAccountId}	/roles/sync/serviceAccount/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	igor	fiat	POST	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	igor	fiat	PUT	/_calls/fiat/roles/{userId}	/roles/{}	indirect-fiat	com.netflix.spinnaker.fiat.shared.FiatService	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	front50	GET	/_calls/front50/pluginInfo	/pluginInfo	kork	com.netflix.spinnaker.kork.plugins.update.internal.Front50Service	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	front50	GET	/_calls/front50/pluginInfo/{id}	/pluginInfo/{}	kork	com.netflix.spinnaker.kork.plugins.update.internal.Front50Service	dropped family (owner ruling 2026-09-12)
1.37.6	clouddriver	front50	PUT	/_calls/front50/pluginVersions/{serverGroupName}	/pluginVersions/{}	kork	com.netflix.spinnaker.kork.plugins.update.internal.Front50Service	dropped family (owner ruling 2026-09-12)
