caller	provider	method	path_template	interface	method_name	body_type	return_type	resolved_by	claim
clouddriver	front50	GET	/v2/tags/{id}	Front50Service	getEntityTags	-	Call<EntityTags>	services.front50.baseUrl (RetrofitConfig.front50Service)	clouddriver@v5.95.0 clouddriver-core/src/main/groovy/com/netflix/spinnaker/clouddriver/core/services/Front50Service.groovy:64
clouddriver	front50	GET	/v2/tags	Front50Service	getAllEntityTagsById	-	Call<List<EntityTags>>	services.front50.baseUrl (RetrofitConfig.front50Service)	clouddriver@v5.95.0 clouddriver-core/src/main/groovy/com/netflix/spinnaker/clouddriver/core/services/Front50Service.groovy:67
clouddriver	front50	GET	/v2/tags?prefix=	Front50Service	getAllEntityTags	-	Call<Collection<EntityTags>>	services.front50.baseUrl (RetrofitConfig.front50Service)	clouddriver@v5.95.0 clouddriver-core/src/main/groovy/com/netflix/spinnaker/clouddriver/core/services/Front50Service.groovy:70
clouddriver	front50	DELETE	/v2/tags/{id}	Front50Service	deleteEntityTags	-	Call<ResponseBody>	services.front50.baseUrl (RetrofitConfig.front50Service)	clouddriver@v5.95.0 clouddriver-core/src/main/groovy/com/netflix/spinnaker/clouddriver/core/services/Front50Service.groovy:73
clouddriver	front50	GET	/v2/pipelineTemplates/{pipelineTemplateId}	Front50Service	getV2PipelineTemplate	-	Call<Map>	services.front50.baseUrl (RetrofitConfig.front50Service)	clouddriver@v5.95.0 clouddriver-core/src/main/groovy/com/netflix/spinnaker/clouddriver/core/services/Front50Service.groovy:77
clouddriver	front50	GET	/v2/pipelineTemplates	Front50Service	listV2PipelineTemplates	-	Call<List<Map>>	services.front50.baseUrl (RetrofitConfig.front50Service)	clouddriver@v5.95.0 clouddriver-core/src/main/groovy/com/netflix/spinnaker/clouddriver/core/services/Front50Service.groovy:82
clouddriver	fiat	GET	authorize/{userId}	FiatService	getUserPermission	-	Call<UserPermission.View>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:36
clouddriver	fiat	GET	authorize/{userId}/{resourceType}/{resourceName}/{authorization}	FiatService	hasAuthorization	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:46
clouddriver	fiat	POST	authorize/{userId}/{resourceType}/create	FiatService	canCreate	Object	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:61
clouddriver	fiat	POST	roles/sync	FiatService	sync	-	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:72
clouddriver	fiat	POST	roles/sync	FiatService	sync	List<String>	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:81
clouddriver	fiat	POST	roles/sync/serviceAccount/{serviceAccountId}	FiatService	syncServiceAccount	List<String>	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:92
clouddriver	fiat	POST	roles/{userId}	FiatService	loginUser	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:100
clouddriver	fiat	PUT	roles/{userId}	FiatService	loginWithRoles	Collection<String>	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:110
clouddriver	fiat	DELETE	roles/{userId}	FiatService	logoutUser	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:117
front50	echo	POST	/	EchoService	postEvent	Event	String	services.echo.base-url (EchoConfiguration.echoService)	front50@v2.41.0 front50-core/src/main/java/com/netflix/spinnaker/front50/echo/EchoService.java:27
front50	echo	POST	/notifications	EchoService	postNotification	Notification	Response	services.echo.base-url (EchoConfiguration.echoService)	front50@v2.41.0 front50-core/src/main/java/com/netflix/spinnaker/front50/echo/EchoService.java:31
front50	fiat	GET	authorize/{userId}	FiatService	getUserPermission	-	Call<UserPermission.View>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:36
front50	fiat	GET	authorize/{userId}/{resourceType}/{resourceName}/{authorization}	FiatService	hasAuthorization	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:46
front50	fiat	POST	authorize/{userId}/{resourceType}/create	FiatService	canCreate	Object	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:61
front50	fiat	POST	roles/sync	FiatService	sync	-	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:72
front50	fiat	POST	roles/sync	FiatService	sync	List<String>	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:81
front50	fiat	POST	roles/sync/serviceAccount/{serviceAccountId}	FiatService	syncServiceAccount	List<String>	Call<Long>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:92
front50	fiat	POST	roles/{userId}	FiatService	loginUser	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:100
front50	fiat	PUT	roles/{userId}	FiatService	loginWithRoles	Collection<String>	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:110
