caller	provider	method	caller_path	norm_path	provider_path	provider_claim	candidates	caller_body	caller_return	provider_body	provider_return	s2_typing	untyped_as_written	untyped_refined	both_sides_untyped_as_written	edge_claim
gate	clouddriver	GET	/search	/search	/search	CLAIM-S2-R0413	1	-	Call<List<Map>>	-	List<SearchResultSet>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:240
gate	clouddriver	GET	/securityGroups	/securityGroups	/securityGroups	CLAIM-S2-R0414	1	-	Call<Map>	-	Map<String, Map<String, Map<String, Set<SecurityGroupSummary>>>>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:249
gate	clouddriver	GET	/securityGroups/{account}/{type}	/securityGroups/{}/{}	/securityGroups/{account}/{cloudProvider}	CLAIM-S2-R0417	2	-	Call<Map>	-	Map<String, Set<SecurityGroupSummary>>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:252
gate	clouddriver	GET	/securityGroups/{account}/{type}	/securityGroups/{}/{}	/securityGroups/{account}/{cloudProvider}	CLAIM-S2-R0417	2	-	Call<List>	-	Map<String, Set<SecurityGroupSummary>>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:255
gate	clouddriver	GET	/securityGroups/{account}/{type}/{region}/{name}	/securityGroups/{}/{}/{}/{}	/securityGroups/{account}/{cloudProvider}/{region}/{securityGroupNameOrId:.+}	CLAIM-S2-R0420	1	-	Call<Map>	-	SecurityGroup	polymorphic	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:259
gate	clouddriver	GET	/applications/{application}/serverGroupManagers	/applications/{}/serverGroupManagers	/applications/{application}/serverGroupManagers	CLAIM-S2-R0446	1	-	Call<List<Map>>	-	Set<ServerGroupManager>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:267
gate	clouddriver	GET	/instanceTypes	/instanceTypes	/instanceTypes	CLAIM-S2-R0389	1	-	Call<List<Map>>	-	Set<InstanceType>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:270
gate	clouddriver	GET	/keyPairs	/keyPairs	/keyPairs	CLAIM-S2-R0393	1	-	Call<List<Map>>	-	Set<KeyPair>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:273
gate	clouddriver	GET	/subnets	/subnets	/subnets	CLAIM-S2-R0425	1	-	Call<List<Map>>	-	Set<Subnet>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:276
gate	clouddriver	GET	/subnets/{cloudProvider}	/subnets/{}	/subnets/{cloudProvider}	CLAIM-S2-R0426	1	-	Call<List<Map>>	-	Set<Subnet>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:279
gate	clouddriver	GET	/networks	/networks	/networks	CLAIM-S2-R0398	1	-	Call<Map>	-	Map<String, Set<Network>>	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:282
gate	clouddriver	GET	/networks/{cloudProvider}	/networks/{}	/networks/{cloudProvider}	CLAIM-S2-R0399	1	-	Call<List<Map>>	-	Set<Network>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:285
gate	clouddriver	GET	/cloudMetrics/{cloudProvider}/{account}/{region}	/cloudMetrics/{}/{}/{}	/cloudMetrics/{cloudProvider}/{account}/{region}	CLAIM-S2-R0372	1	-	Call<List<Map>>	-	List<CloudMetricDescriptor>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:288
gate	clouddriver	GET	/cloudMetrics/{cloudProvider}/{account}/{region}/{metricName}/statistics	/cloudMetrics/{}/{}/{}/{}/statistics	/cloudMetrics/{cloudProvider}/{account}/{region}/{metricName}/statistics	CLAIM-S2-R0373	1	-	Call<Map>	-	CloudMetricStatistics	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:295
gate	clouddriver	GET	/tags	/tags	/tags	CLAIM-S2-R0441	1	-	Call<List<Map>>	-	Collection<EntityTags>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:305
gate	clouddriver	GET	/tags/{id}	/tags/{}	/tags/**	CLAIM-S2-R0442	1	-	Call<Map>	-	EntityTags	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:308
gate	clouddriver	GET	/certificates	/certificates	/certificates	CLAIM-S2-R0370	1	-	Call<List<Map>>	-	List<Certificate>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:311
gate	clouddriver	GET	/certificates/{cloudProvider}	/certificates/{}	/certificates/{cloudProvider}	CLAIM-S2-R0371	1	-	Call<List<Map>>	-	Set<Network>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:314
gate	clouddriver	GET	/v1/data/static/{id}	/v1/data/static/{}	/v1/data/static/{id}	CLAIM-S2-R0382	1	-	Call<ResponseBody>	-	Object	untyped-return	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:318
gate	clouddriver	GET	/v1/data/adhoc/{groupId}/{bucketId}/{objectId}	/v1/data/adhoc/{}/{}/{}	/v1/data/adhoc/{groupId}/{bucketId}/**	CLAIM-S2-R0383	1	-	Call<ResponseBody>	-	StreamingResponseBody	typed	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:322
